n,events,non_events,responders,prevalence,p_base,p_event,p_fisher,or,ci.low,ci.high
20,0,20,,0.01,0.4,0.4,1,,,
20,0,20,,0.05,0.4,0.4,1,,,
20,0,20,,0.1,0.4,0.4,1,,,
20,4,16,3,0.3,0.4,0.4,1,0,0,10.9056832695334
20,11,9,4,0.5,0.4,0.4,0.591331269349845,2.84745031057879,0.181210592878386,176.61891848141
20,0,20,,0.01,0.4,0.2,1,,,
20,1,19,11,0.05,0.4,0.2,1,Inf,0.0209943181818182,Inf
20,1,19,7,0.1,0.4,0.2,0.35,Inf,0.0476188616071429,Inf
20,6,14,6,0.3,0.4,0.2,0.612616099071207,0.377215207319882,0.00636577056649081,5.03551470077705
20,8,12,6,0.5,0.4,0.2,1,0.680120213329417,0.0464947714466061,6.84339704893254
20,0,20,,0.01,0.4,0.1,1,,,
20,3,17,5,0.05,0.4,0.1,0.539473684210526,0,0,7.75286707856177
20,3,17,3,0.1,0.4,0.1,1,0,0,16.9782567642058
20,6,14,10,0.3,0.4,0.1,0.628482972136223,0.394178662014479,0.026894254787677,3.88582019227789
20,10,10,7,0.5,0.4,0.1,0.0572755417956657,0.0859350429538672,0.00146108353677648,1.05397598911988
20,0,20,,0.01,0.4,0.01,1,,,
20,0,20,,0.05,0.4,0.01,1,,,
20,1,19,3,0.1,0.4,0.01,1,0,0,220.242914979755
20,10,10,2,0.3,0.4,0.01,0.473684210526316,0,0,5.2319679053098
20,7,13,5,0.5,0.4,0.01,0.612616099071208,0.392317052767216,0.00654818577618859,5.43254917165433
20,0,20,,0.01,0.4,0,1,,,
20,0,20,,0.05,0.4,0,1,,,
20,1,19,4,0.1,0.4,0,1,0,0,155.623100303952
20,10,10,1,0.3,0.4,0,1,0,0,39.000549968693
20,8,12,5,0.5,0.4,0,0.0546955624355006,0,0,1.39245944771356
20,0,20,,0.01,0.2,0.4,1,,,
20,1,19,2,0.05,0.2,0.4,1,0,0,349.090909090914
20,4,16,3,0.1,0.2,0.4,1,0,0,10.9056832695334
20,9,11,5,0.3,0.2,0.4,0.127321981424149,7.15885181517513,0.52624372300775,430.986237721642
20,15,5,5,0.5,0.2,0.4,0.266318369453045,Inf,0.305254445282398,Inf
20,0,20,,0.01,0.2,0.2,1,,,
20,0,20,,0.05,0.2,0.2,1,,,
20,3,17,9,0.1,0.2,0.2,0.565789473684211,2.70973994632362,0.118901708425797,184.848166160219
20,5,15,5,0.3,0.2,0.2,0.266318369453045,0,0,3.27595556904954
20,8,12,2,0.5,0.2,0.2,1,1.53525206077313,0.017546840170988,134.239195153839
20,0,20,,0.01,0.2,0.1,1,,,
20,1,19,6,0.05,0.2,0.1,0.3,Inf,0.0598289155505954,Inf
20,3,17,4,0.1,0.2,0.1,1,0,0,10.9056832695334
20,6,14,4,0.3,0.2,0.1,1,0.744336005715155,0.0116732458090552,12.386062504413
20,15,5,2,0.5,0.2,0.1,0.447368421052631,0.308609853607351,0.00341220820136641,27.9899236172765
20,0,20,,0.01,0.2,0.01,1,,,
20,1,19,4,0.05,0.2,0.01,1,0,0,155.623100303952
20,2,18,4,0.1,0.2,0.01,1,0,0,23.0955606906853
20,6,14,6,0.3,0.2,0.01,0.114886480908153,0,0,1.73090751154847
20,6,14,3,0.5,0.2,0.01,0.521052631578947,0,0,5.81267621686515
20,0,20,,0.01,0.2,0,1,,,
20,0,20,,0.05,0.2,0,1,,,
20,3,17,1,0.1,0.2,0,1,0,0,220.242914979756
20,4,16,3,0.3,0.2,0,1,0,0,10.9056832695334
20,10,10,3,0.5,0.2,0,0.210526315789474,0,0,2.25522887219838
40,1,39,20,0.01,0.4,0.4,1,0,0,39.0005499686927
40,3,37,11,0.05,0.4,0.4,0.547975708502024,0,0,6.51733642032166
40,5,35,16,0.1,0.4,0.4,0.630885946675421,0.341529825710622,0.0063577446962344,3.93376384662135
40,8,32,19,0.3,0.4,0.4,0.698355698355698,0.607643893869503,0.0805456650468485,3.75241910947369
40,19,21,13,0.5,0.4,0.4,1,0.924932446698352,0.197738608820095,4.22227518095839
40,0,40,,0.01,0.4,0.2,1,,,
40,3,37,13,0.05,0.4,0.2,1,1.04058305690769,0.0163194726821252,21.8939361072104
40,5,35,15,0.1,0.4,0.2,0.632983185614765,0.383205174675942,0.00712009987917769,4.42917896301461
40,10,30,15,0.3,0.4,0.2,0.268564042420529,0.335502556219823,0.0298544906219226,2.10000313249478
