Cohort,Treatment,Biomarkers,Gene,Event,Association,Measurement,Evidence,Protein,Function,Database,Citations
Bladder Urothelial,Anti-PD-1,PD-L1,CD274,"Amplification, Expression",Response,"IHC, RNA-seq",High,Immune checkpoint ligand,Inhibits T-cell activation; high expression linked to better response,"TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC10486227/, https://pubmed.ncbi.nlm.nih.gov/33141317/, https://jitc.bmj.com/content/5/1/94, https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2815767, https://einsteinmed.edu/uploadedFiles/Zang/UrologicOncology2017.pdf"
Bladder Urothelial,Anti-PD-1,TMB (Tumor Mutational Burden),Multiple,Mutation burden,Response,"WES, NGS",High,N/A (genomic feature),"High TMB increases neoantigen load, enhancing immune response","TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC10486227/, https://jitc.bmj.com/content/5/1/94"
Bladder Urothelial,Immunotherapy,MSI (Microsatellite Instability),"MLH1, MSH2, MSH6, PMS2","Mutation, Deletion",Response,"PCR, NGS",High,DNA repair enzymes,Defective mismatch repair increases immunogenicity,"TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC10486227/, https://jitc.bmj.com/content/5/1/94"
Bladder Urothelial,Immunotherapy,CD8+ T-cell infiltration,N/A,N/A,Response,"IHC, Flow cytometry",High,Immune cell marker,High infiltration correlates with better ICI response,"TCGA, GEO","https://pmc.ncbi.nlm.nih.gov/articles/PMC10486227/, https://jitc.bmj.com/content/5/1/94"
Breast ER+/HER-,Aromatase inhibitor,ER (Estrogen Receptor),ESR1,Expression,Response,"IHC, RNA-seq",High,Nuclear receptor,Mediates estrogen signaling; required for AI efficacy,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC6125140/
Breast ER+/HER-,Aromatase inhibitor,PR (Progesterone Receptor),PGR,Expression,Response,"IHC, RNA-seq",High,Nuclear receptor,Indicates functional ER pathway; low PR linked to poor response,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Breast ER+/HER-,Aromatase inhibitor,HER2,ERBB2,Amplification,Non-response,"IHC, FISH, PCR",High,Receptor tyrosine kinase,HER2+ tumors less responsive to AIs,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC6125140/
Breast ER+/HER-,Aromatase inhibitor,ESR1 Mutation,ESR1,Mutation,Non-response,"NGS, PCR",High,Nuclear receptor,Mutations confer resistance to AIs,"COSMIC, TCGA",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Breast ER+/HER-,Aromatase inhibitor,PIK3CA Mutation,PIK3CA,Mutation,Non-response,"NGS, PCR",High,Enzyme (kinase),"Activates PI3K pathway, leading to endocrine resistance","COSMIC, TCGA",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Breast ER+/HER-,Chemotherapy,Estrogen Receptor (ER),ESR1,Expression,Response,"IHC, RNA-seq",High,Nuclear receptor,"Mediates estrogen signaling, drives tumor growth, predicts endocrine therapy response","TCGA, GEO","https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/, https://pmc.ncbi.nlm.nih.gov/articles/PMC10378988/, https://arupconsult.com/content/breast-cancer"
Breast ER+/HER-,Chemotherapy,Progesterone Receptor (PR),PGR,Expression,Response,"IHC, RNA-seq",High,Nuclear receptor,"Modulates ER activity, associated with favorable outcome in ER+ tumors","TCGA, GEO","https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/, https://pmc.ncbi.nlm.nih.gov/articles/PMC10378988/, https://arupconsult.com/content/breast-cancer"
Breast ER+/HER-,Hormonal therapy,Estrogen Receptor,ESR1,"Expression, Mutation",Response/Non-response,"IHC, RNA-seq, Somatic Mutation",High,Nuclear receptor,Direct target of hormonal therapy; mutations can confer resistance,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC6125140/
Breast ER+/HER-,Hormonal therapy,Progesterone Receptor,PGR,Expression,Response,"IHC, RNA-seq",High,Nuclear receptor,Indicates functional ER pathway; higher levels predict better response,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC6125140/
Breast ER+/HER-,Hormonal therapy,HER2,ERBB2,Amplification,Non-response,"IHC, FISH",High,Receptor tyrosine kinase,HER2 amplification predicts poor response to hormonal therapy,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC6125140/
Breast ER+/HER-,Hormonal therapy,PIK3CA,PIK3CA,Mutation,Non-response,"NGS, PCR",High,Kinase (enzyme),"Mutations activate PI3K pathway, leading to resistance","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Breast ER+/HER-,Hormonal therapy,Oncotype DX RS,Multi-gene,Expression profile,Response/Non-response,RT-PCR (21-gene panel),High,Multi-gene signature,Low RS predicts good response; high RS predicts poor response,"GEO, TCGA",https://pmc.ncbi.nlm.nih.gov/articles/PMC11564209/
Breast ER+/HER-,Hormonal therapy,Estrogen Receptor,ESR1,"Expression, Mutation",Response,"IHC, RNA-seq, PCR, Mutational",High,Nuclear receptor,Direct target of hormonal therapy; presence predicts response,"TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC6125140/, https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/"
Breast ER+/HER-,Hormonal therapy,Progesterone Receptor,PGR,Expression,Response,"IHC, RNA-seq",High,Nuclear receptor,Indicates functional ER pathway; higher levels predict better response,"TCGA, GEO","https://pmc.ncbi.nlm.nih.gov/articles/PMC6125140/, https://cco.amegroups.org/article/view/45393/html"
Breast ER+/HER-,Hormonal therapy,HER2,ERBB2,Amplification,Non-response,"IHC, FISH, PCR",High,Receptor tyrosine kinase,HER2 amplification predicts poor response to hormonal therapy,"TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC6125140/, https://pmc.ncbi.nlm.nih.gov/articles/PMC11564209/"
Breast ER+/HER-,Hormonal therapy,PIK3CA,PIK3CA,Mutation,Non-response,"Sequencing, PCR",High,Kinase (PI3K pathway),Mutations linked to resistance to endocrine therapy,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Breast ER+/HER-,Hormonal therapy,TP53,TP53,Mutation,Non-response,"Sequencing, PCR",High,Tumor suppressor,Mutations linked to poor prognosis and resistance,"TCGA, COSMIC",https://www.jcancer.org/v07p1281.htm
Breast ER+/HER-,Hormonal therapy,Oncotype DX RS,Multi-gene,Expression profile,Response/Non-resp,RT-PCR (21-gene panel),High,Multi-gene signature,"Low RS predicts response, high RS predicts non-response","GEO, TCGA","https://cco.amegroups.org/article/view/45393/html, https://pmc.ncbi.nlm.nih.gov/articles/PMC11564209/"
Breast ER+/HER-,Pyrimidine (ant)agonist,TYMS,TYMS,"Amplification, Mutation",Non-response,"RNA-seq, PCR, IHC",High,Enzyme (Thymidylate synthase),Catalyzes dTMP synthesis; overexpression confers resistance to 5-FU/capecitabine,"TCGA, COSMIC",https://research.rug.nl/files/2914175/thesis.pdf
Breast ER+/HER-,Pyrimidine (ant)agonist,DPYD,DPYD,"Mutation, Deletion",Non-response,"PCR, Somatic Mutation",High,Enzyme (Dihydropyrimidine dehydrogenase),"Catabolizes 5-FU; loss-of-function increases toxicity, alters response","TCGA, COSMIC",https://research.rug.nl/files/2914175/thesis.pdf
Breast Triple Negative,Chemotherapy,BRCA1,BRCA1,Mutation,Response,"Somatic Mutations, PCR",High,DNA repair enzyme,"Deficiency increases sensitivity to DNA-damaging agents (e.g., platinum)","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7369987/
Breast Triple Negative,Chemotherapy,BRCA2,BRCA2,Mutation,Response,"Somatic Mutations, PCR",High,DNA repair enzyme,"Similar to BRCA1, loss increases chemo sensitivity","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7369987/
Breast Triple Negative,Chemotherapy,TP53,TP53,Mutation,Non-response,"Somatic Mutations, PCR",High,Tumor suppressor,Mutations linked to chemoresistance and poor prognosis,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC4675910/
Breast Triple Negative,Chemotherapy,PD-L1,CD274,Amplification,Response,"IHC, RNA-seq",High,Immune checkpoint,High expression predicts better response to chemo-immunotherapy,"TCGA, GEO","https://pmc.ncbi.nlm.nih.gov/articles/PMC7369987/, https://www.frontiersin.org/journals/oncology/articles/10.3389/fonc.2022.779786/full"
Breast Triple Negative,Chemotherapy,TILs,N/A,N/A,Response,"IHC, Histopathology",High,Immune cell marker,High levels predict better chemo response,"TCGA, GEO","https://pmc.ncbi.nlm.nih.gov/articles/PMC7369987/, https://www.frontiersin.org/journals/oncology/articles/10.3389/fonc.2022.779786/full"
Colon,Chemotherapy,KRAS,KRAS,Mutation,Non-response,"Somatic mutation (PCR, NGS)",High,GTPase (enzyme),"Activates downstream signaling, confers resistance to anti-EGFR therapy","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC6288499/
Colon,Chemotherapy,BRAF,BRAF,Mutation,Non-response,"Somatic mutation (PCR, NGS)",High,Serine/threonine kinase,"Drives MAPK pathway, predicts poor prognosis and anti-EGFR resistance","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC6288499/
Colon,Chemotherapy,HER2,ERBB2,Amplification,Non-response,"IHC, FISH, NGS",High,Receptor tyrosine kinase,"Bypasses EGFR blockade, confers resistance to anti-EGFR therapy","TCGA, COSMIC",https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2022.1062423/full
Colon,Chemotherapy,MMR status,MLH1/MSH2/etc,Deletion/Mutation,Response,"IHC, PCR, NGS",High,DNA repair enzyme,"Deficient MMR (dMMR) predicts poor response to 5-FU, but better immunotherapy","TCGA, COSMIC",https://www.mdpi.com/2072-6694/16/16/2796
Colon,Chemotherapy,MSI status,Multiple,Genomic instability,Response,"PCR, NGS",High,N/A,"High MSI predicts poor response to 5-FU, better immunotherapy response","TCGA, COSMIC",https://www.mdpi.com/2072-6694/16/16/2796
Colon,Chemotherapy,MSI (Microsatellite Instability),"MLH1, MSH2, MSH6, PMS2","Mutation, Deletion","Response (better prognosis, less benefit from 5-FU)","PCR, IHC, NGS",High,DNA repair enzymes,"Defective mismatch repair leads to high mutation rate, affects chemo sensitivity","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC6288499/
Colon,Chemotherapy,KRAS mutation,KRAS,Mutation,Non-response,"PCR, NGS",High,GTPase (enzyme),"Activates downstream signaling, confers resistance to anti-EGFR therapy","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC6288499/
Colon,Chemotherapy,BRAF V600E,BRAF,Mutation,Non-response,"PCR, NGS",High,Kinase (enzyme),"Activates MAPK pathway, poor prognosis, resistance to anti-EGFR therapy","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC6288499/
Colon,Chemotherapy,MMR deficiency,"MLH1, MSH2, MSH6, PMS2","Mutation, Deletion","Response (to immunotherapy, less to chemo)","IHC, PCR, NGS",High,DNA repair enzymes,"Loss of mismatch repair, predicts response to immunotherapy, less to chemo","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC6288499/
Gastroesophageal,Chemotherapy,MSI-H/dMMR,"MLH1, MSH2, MSH6, PMS2","Mutation, Deletion",Response,"PCR, IHC, NGS",High,DNA repair enzymes,"Deficient mismatch repair leads to high mutation burden, predicting response to immunotherapy[1][2].","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7530320/
Kidney,Multikinase inhibitor,VHL,VHL,Deletion/Mutation,Response,"Somatic mutation analysis (NGS, PCR)",High,E3 ubiquitin ligase,"Loss leads to HIF stabilization, promoting angiogenesis; VHL loss sensitizes to VEGF-TKIs","TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC10419620/, https://ascopubs.org/doi/10.1200/EDBK_430734"
Kidney,Multikinase inhibitor,MET,MET,Amplification/Mutation,Non-response,"NGS, FISH, IHC",High,Receptor tyrosine kinase,"MET alterations linked to resistance to VEGF-TKIs, rationale for MET inhibitors","TCGA, COSMIC",https://ascopubs.org/doi/10.1200/EDBK_430734
Kidney,Targeted therapy,MET,MET,"Mutation, Amplification",Response,"NGS, FISH, IHC",High,Receptor tyrosine kinase,"Drives tumor growth in papillary RCC; predicts response to MET inhibitors (e.g., savolitinib)","TCGA, COSMIC",https://ascopubs.org/doi/10.1200/EDBK_430734
Kidney,Targeted therapy,VHL,VHL,"Mutation, Deletion",Response,"NGS, PCR",High,E3 ubiquitin ligase,"Loss leads to HIF stabilization, sensitivity to HIF2α inhibitors (e.g., belzutifan)","TCGA, COSMIC",https://ascopubs.org/doi/10.1200/EDBK_430734
Lung NSCLC,Anti-PD-1,TMB (Tumor Mutational Burden),Multiple,Mutation burden,Response,"Whole exome sequencing, NGS",High,N/A (genomic metric),"High TMB increases neoantigen load, enhancing immune response","TCGA, COSMIC","https://pubmed.ncbi.nlm.nih.gov/36822668/, https://www.cancernetwork.com/view/print-biomarkers-for-response-to-anti-pd-1-anti-pd-l1-immune-checkpoint-inhibitors-a-large-meta-analysis"
Lung NSCLC,Anti-PD-1,EGFR Mutation,EGFR,Mutation,Non-response,"PCR, NGS, Sanger sequencing",High,Receptor tyrosine kinase,EGFR mutations linked to resistance to anti-PD-1/PD-L1,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10351040/
Lung NSCLC,Anti-PD-1,ALK Rearrangement,ALK,Rearrangement,Non-response,"FISH, NGS, PCR",High,Receptor tyrosine kinase,ALK fusions associated with poor response to anti-PD-1/PD-L1,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10351040/
Lung NSCLC,Anti-PD-1,CD8+ TILs,N/A,Infiltration,Response,"IHC, Flow cytometry",High,Immune cell marker,High CD8+ TILs indicate active anti-tumor immunity,TCGA,"https://pmc.ncbi.nlm.nih.gov/articles/PMC10351040/, https://jitc.bmj.com/content/4/1/48"
