cohort,total_patients,measurement,driver,total_driver_events,covariate,est,se,pval,correlation_ATRX,correlation_POT1,correlation_TERT,total_ATRX,total_POT1,total_TERT,total_cooccurrence_ATRX,total_cooccurrence_POT1,total_cooccurrence_TERT,frac_cooccurrence_ATRX,frac_cooccurrence_POT1,frac_cooccurrence_TERT,colors,main_driver,min_p
Pan-Cancer,28040,purity_svTMB,TP53,15480,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.265364580826049,0.00519892857776414,0,0.1,-0.02,-0.1,1284,376,3564,996,180,1488,0.78,0.48,0.42,Positive (p < .1),MUTATION,0
Pan-Cancer,28040,purity_svTMB,RAD51B,1916,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.129073457307881,0.00502410359072914,6.92639604504353e-144,0.02,0.02,-0.03,1284,376,3564,124,40,176,0.1,0.11,0.05,Positive (p < .1),DELETION,6.92639604504353e-144
Pan-Cancer,28040,teal_final_ratio,ATRX,1284,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0888472129872273,0.00349448860302298,5.3556466578253e-141,,-0.01,-0.05,,376,3564,,12,72,,0.03,0.02,Positive (p < .1),MUTATION,5.3556466578253e-141
Pan-Cancer,28040,purity_svTMB,ERBB4,1676,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.124720133201537,0.00502221637717038,1.11966974621437e-134,0.04,-0.01,0,1284,376,3564,136,12,224,0.11,0.03,0.06,Positive (p < .1),MUTATION,1.11966974621437e-134
Pan-Cancer,28040,purity_svTMB,MDM2,924,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.123926396477628,0.00509162472773755,1.67953318338217e-129,0.02,0,0.03,1284,376,3564,64,12,172,0.05,0.03,0.05,Positive (p < .1),AMPLIFICATION,1.67953318338217e-129
Pan-Cancer,28040,purity_svTMB,CDK12,1172,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.112424458942574,0.00507536509985052,8.63852594217502e-108,0.01,0.04,-0.01,1284,376,3564,68,40,128,0.05,0.11,0.04,Positive (p < .1),MUTATION,8.63852594217502e-108
Pan-Cancer,28040,purity_svTMB,CDK4,568,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.111191879049961,0.00514483389009447,9.54493737289053e-103,0.06,0,0.04,1284,376,3564,72,8,128,0.06,0.02,0.04,Positive (p < .1),AMPLIFICATION,9.54493737289053e-103
Pan-Cancer,28040,purity_svTMB,MYC,1596,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.106924903875538,0.00505564945330176,1.64725724779882e-98,-0.02,-0.01,-0.07,1284,376,3564,48,16,56,0.04,0.04,0.02,Positive (p < .1),AMPLIFICATION,1.64725724779882e-98
Pan-Cancer,28040,purity_svTMB,CUX1,952,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.103523217490002,0.00501948917645011,8.30996463781139e-94,0.03,0.04,-0.01,1284,376,3564,76,36,100,0.06,0.1,0.03,Positive (p < .1),MUTATION,8.30996463781139e-94
Pan-Cancer,28040,purity_svTMB,TCF12,984,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.102756483400448,0.00502827802330525,3.79770314969941e-92,0.02,-0.01,-0.03,1284,376,3564,72,8,76,0.06,0.02,0.02,Positive (p < .1),DELETION,3.79770314969941e-92
Pan-Cancer,28040,purity_svTMB,BRCA2,624,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.101001959564392,0.00504137661230909,1.15384018032656e-88,-0.01,0,-0.03,1284,376,3564,20,8,36,0.02,0.02,0.01,Positive (p < .1),MUTATION,1.15384018032656e-88
Pan-Cancer,28040,purity_svTMB,CTNNA1,688,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.100607871470768,0.00503004895864673,2.22665868920114e-88,0.04,-0.01,-0.01,1284,376,3564,64,4,68,0.05,0.01,0.02,Positive (p < .1),DELETION,2.22665868920114e-88
Pan-Cancer,28040,teal_final_ratio,POT1,376,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0670542921368348,0.00346678008799222,8.29137557522348e-83,-0.01,,-0.01,1284,,3564,12,,36,0.01,,0.01,Positive (p < .1),MUTATION,8.29137557522348e-83
Pan-Cancer,28040,purity_svTMB,ARID1B,1188,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0968075803116799,0.00502629845267483,3.94985957536403e-82,0.03,0.02,-0.02,1284,376,3564,92,28,104,0.07,0.07,0.03,Positive (p < .1),MUTATION,3.94985957536403e-82
Pan-Cancer,28040,purity_svTMB,PTPRB,672,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0967576916674556,0.00505842648982701,4.86545764486754e-81,0.04,0.01,0.01,1284,376,3564,68,12,96,0.05,0.03,0.03,Positive (p < .1),MUTATION,4.86545764486754e-81
Pan-Cancer,28040,purity_svTMB,NIPBL,1024,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0943840786114072,0.00504865501066933,1.61914418604042e-77,0.02,0.01,0.04,1284,376,3564,68,20,192,0.05,0.05,0.05,Positive (p < .1),MUTATION,1.61914418604042e-77
Pan-Cancer,28040,purity_svTMB,NF1,2292,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0935085657666085,0.00503778516340484,1.89997433130418e-76,0.02,-0.01,0,1284,376,3564,144,24,280,0.11,0.06,0.08,Positive (p < .1),MUTATION,1.89997433130418e-76
Pan-Cancer,28040,purity_svTMB,ATRX,1284,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0925883379890609,0.00508261724839461,1.01702663541941e-73,,-0.01,-0.05,,376,3564,,12,72,,0.03,0.02,Positive (p < .1),MUTATION,5.3556466578253e-141
Pan-Cancer,28040,purity_svTMB,BRIP1,764,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0900522861381438,0.00504107046051866,5.61153397212942e-71,0.02,0.03,-0.01,1284,376,3564,52,24,84,0.04,0.06,0.02,Positive (p < .1),MUTATION,5.61153397212942e-71
Pan-Cancer,28040,purity_svTMB,RUNX1,1220,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0901260322549817,0.00504934409160786,7.27579835093561e-71,0.02,0.01,-0.04,1284,376,3564,80,20,88,0.06,0.05,0.02,Positive (p < .1),MUTATION,7.27579835093561e-71
