cohortGo,feature,e_nr,ne_nr,e_r,ne_r,events,no_events,responders,non_responders,total_patients,direction,fisher_pval,or,ci_low,ci_high,group,ct,no_dcb,dcb,type,p_bh,p_by,mechanism
Pan-Cancer ## Anti-PD-1,rna_geneset_gene_set_t_cell_gep_6_lt75_and_rna_geneset_HALLMARK_KRAS_SIGNALING_DN_gt25,94,97,14,104,108,201,118,191,309,Non-Response,5.197294556021e-12,0.139778803835776,0.0688431642535295,0.26658978517029,mechanism,309,191,118,combination,4.34985421963806e-08,5.47048755130156e-07,Anti-PD-1
Pan-Cancer ## Anti-PD-1,clin_hasSystemicPreTreatment_or_purity_tmbPerMb_lt75,179,68,63,99,242,167,162,247,409,Non-Response,1.57125564653818e-11,0.242673672171906,0.155104325120691,0.376568394505647,mechanism,409,247,162,combination,6.55084681066192e-08,8.238511940566e-07,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_HALLMARK_KRAS_SIGNALING_DN_gt25_and_rna_geneset_vhio_tcell_lt75,98,93,18,100,116,193,118,191,309,Non-Response,7.57879459683524e-11,0.171796064169733,0.0905418867700695,0.312220896034511,mechanism,309,191,118,combination,1.81601734909989e-07,2.2838697113912e-06,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_gene_set_t_cell_gep_10_lt75_and_rna_geneset_HALLMARK_KRAS_SIGNALING_DN_gt25,94,97,17,101,111,198,118,191,309,Non-Response,2.44604269439144e-10,0.174665909726111,0.0907747518713781,0.320713102091078,mechanism,309,191,118,combination,3.5510861609166e-07,4.46593647878846e-06,Anti-PD-1
Pan-Cancer ## Anti-PD-1,purity_tmbPerMb_lt75_and_rna_geneset_vhio_tcell_lt75,80,111,11,107,91,218,118,191,309,Non-Response,2.76812989262618e-10,0.143464302450849,0.0652029415741119,0.289622453782003,mechanism,309,191,118,combination,3.84694345539514e-07,4.83801415419646e-06,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_APM_lt75_or_rna_geneset_KEGG_HEDGEHOG_SIGNALING_PATHWAY_gt75,148,43,49,69,197,112,118,191,309,Non-Response,2.75482578260868e-10,0.207526538802588,0.12139629675385,0.350272309595331,mechanism,309,191,118,combination,3.84694345539514e-07,4.83801415419646e-06,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_gene_set_t_cell_gep_6_lt75_or_rna_geneset_KEGG_AXON_GUIDANCE_gt75,145,46,47,71,192,117,118,191,309,Non-Response,3.95998607715007e-10,0.21120717790254,0.124044912875111,0.355119292860084,mechanism,309,191,118,combination,4.59918440123177e-07,5.78405154349567e-06,Anti-PD-1
Pan-Cancer ## Anti-PD-1,purity_tmbPerMb_lt75_and_rna_geneset_gene_set_t_cell_gep_10_lt75,78,113,11,107,89,220,118,191,309,Non-Response,5.87778075419204e-10,0.149771496147444,0.0680432784028036,0.302543455337838,mechanism,309,191,118,combination,5.97322121918823e-07,7.51207527213601e-06,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_gene_set_t_cell_gep_10_lt75_or_rna_geneset_KEGG_AXON_GUIDANCE_gt75,148,43,50,68,198,111,118,191,309,Non-Response,6.16291952045353e-10,0.214843446416107,0.125792221196652,0.362381156510261,mechanism,309,191,118,combination,6.07320235264669e-07,7.63781409425106e-06,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_gene_set_t_cell_gep_6_lt75_and_rna_geneset_KEGG_RENIN_ANGIOTENSIN_SYSTEM_gt50,61,130,5,113,66,243,118,191,309,Non-Response,6.15813473863478e-10,0.0948666597014471,0.0287321612853469,0.245338799283105,mechanism,309,191,118,combination,6.07320235264669e-07,7.63781409425106e-06,Anti-PD-1
