gene,cancer_related,label,cancer_pathway,protein_type,subcellular_location,description
WBP1LP6,No,Oncogene,,Protein-coding,Cytoplasm,Involved in cell signaling and proliferation
OR4F16,No,Not Applicable,,Olfactory receptor,Plasma membrane,"Function in olfaction, not directly related to cancer"
CICP3,No,Tumor Suppressor,,Protein-coding,Cytoplasm,May have roles in cell cycle regulation
RNU6-1199P,No,Not Applicable,,Non-coding RNA,Nucleus,Involved in RNA processing
LINC01409,No,Not Applicable,,Long non-coding RNA,Nucleus,Regulatory roles in gene expression
FAM87B,No,Not Applicable,,Protein-coding,Cytoplasm/Nucleus,Possible role in cell signaling and development
LINC00115,No,Not Applicable,,Long non-coding RNA,Nucleus,Involved in regulation of other genes
LINC01128,No,Not Applicable,,Long non-coding RNA,Nucleus,Potential role in cancer progression
FAM41C,No,Not Applicable,,Protein-coding,Cytoplasm,Functions in cell cycle and apoptosis
TUBB8P11,No,Not Applicable,,Protein-coding,Cytoplasm,Related to microtubule structure and mitosis
LINC02593,No,Not Applicable,,Long non-coding RNA,Nucleus,Potential regulatory role in gene expression
SAMD11,No,Not Applicable,,Protein-coding,Cytoplasm,Involvement in cell differentiation and proliferation
NOC2L,No,Not Applicable,,Protein-coding,Nucleus,May play a role in RNA metabolism
KLHL17,No,Not Applicable,,Protein-coding,Cytoplasm,Involved in protein degradation pathways
PLEKHN1,No,Not Applicable,,Protein-coding,Cytoplasm,Participates in lipid signaling pathways
PERM1,No,Not Applicable,,Protein-coding,Cytoplasm,Involved in cellular stress response
HES4,No,Oncogene,Notch Signaling ,Transcription factor,Nucleus,Regulates transcription during development and cell fate
ISG15,No,Not Applicable,Immune Response,Ubiquitin-like protein,Cytoplasm,Influences cellular responses to viruses/infections
AGRN,No,Not Applicable,,Glycoprotein,Extracellular matrix,Important in neuromuscular junction formation
RNF223,No,Tumor Suppressor,Ubiquitin-Proteasome ,E3 ligase,Cytoplasm,Role in protein degradation and quality control
C1orf159,No,Unknown,,Unknown,Unknown,Potential role in non-coding regulation
LINC01342,No,Non-coding RNA,Various Regulatory Roles,lncRNA,Nucleus,Involved in gene expression regulation
MIR200B,Yes,Oncogene,Cell Cycle Regulation,MicroRNA,Cytoplasm,Involved in epithelial-to-mesenchymal transition (EMT)
MIR200A,Yes,Oncogene,Cell Cycle Regulation,MicroRNA,Cytoplasm,Involved in regulation of EMT and metastasis
MIR429,Yes,Oncogene,Cell Cycle Regulation,MicroRNA,Cytoplasm,"Role in development, EMT, and oncogenesis"
TTLL10-AS1,No,Non-coding RNA,,lncRNA,Nucleus,Possibly involved in chromatin remodeling
TTLL10,No,Tumor Suppressor,,Enzyme/protein,Cytoplasm,Role in microtubule poly-glutamylation
TNFRSF18,Yes,Oncogene,Immune Signaling,Receptor protein,Cell membrane,Involved in TNF signaling; may promote inflammation
TNFRSF4,Yes,Oncogene,Immune Signaling,Receptor protein,Cell membrane,Role in T-cell activation and survival
SDF4,No,Unknown,Possibly Involved In Emt,Chemokine,Extracellular matrix,May play a role in immune response and cancer progression
B3GALT6,Yes,Oncogene,Glycosylation ,Enzyme,Golgi apparatus,"Involved in glycan biosynthesis, impacting cell signaling"
C1QTNF12,No,Tumor Suppressor,,Adipokine,Extracellular matrix,Involved in tissue remodeling and possibly tumor inhibition
UBE2J2,Yes,Oncogene,Ubiquitin-Proteasome,Enzyme,Cytoplasm,Role in protein degradation and cellular signal regulation
LINC01786,No,Non-coding RNA,,lncRNA,Nucleus,Potential role in gene regulation
SCNN1D,No,Tumor Suppressor,Ion Transport ,Ion channel,Cell membrane,"Role in epithelial sodium regulation, impacting fluid balance"
ACAP3,No,Tumor Suppressor,Signaling ,GTPase activating,Cytoplasm,Involved in the regulation of actin cytoskeleton
PUSL1,No,Unknown,Rna Processing,Enzyme,Nucleus,Methylation of RNA substrates; may affect gene expression
INTS11,No,Unknown,Rna Polymerase Ii,Protein,Nucleus,Involved in mRNA processing and splicing
CPTP,No,Unknown,,Phosphatase,Cytoplasm,Proposed role in signal transduction
TAS1R3,No,Unknown,Taste Signaling ,Receptor protein,Cell membrane,Involved in taste perception and possibly in cancer metabolis
DVL1,Yes,Oncogene,Wnt Signaling ,Protein,Cytoplasm,"Involved in signal transduction and development, regulating β-catenin pathway."
MXRA8,No,Unknown,Potentially In Viral Entry,Protein,Membrane,Involved in cell adhesion and extracellular matrix interaction.
AURKAIP1,No,Oncogene,Cell Cycle Regulation,Protein,Cytoplasm,"Modulates Aurora A kinase function, involved in mitosis."
NDUFB4P8,No,Unknown,Mitochondrial Energy Production,Non-coding RNA,Mitochondria,"Involves in energy metabolism, role in electron transport chain."
CCNL2,No,Oncogene,Cell Cycle Regulation,Protein,Nucleus,Plays a role in mRNA splicing and cell cycle control.
MRPL20-AS1,No,Unknown,,Non-coding RNA,Nucleus,"Potential regulatory role, unclear functional implications."
MRPL20,No,Tumor Suppressor,Ribosome Biogenesis,Ribosomal Protein,Mitochondria,Implicated in mitochondrial function and protein synthesis.
RN7SL657P,No,Unknown,,Non-coding RNA,Unknown,"Potential involvement in RNA processing, function unclear."
MRPL20-DT,No,Unknown,,Non-coding RNA,Nucleus,"Unknown, potential regulatory function linked to MRPL20."
ANKRD65,No,Unknown,Cellular Stress Response,Protein,Cytoplasm,Involved in heat shock response and maintaining protein homeostasis.
TMEM88B,No,Unknown,Wnt Signaling ,Protein,Membrane,May play a role in Wnt signaling regulation.
LINC01770,No,Unknown,,Non-coding RNA,Nucleus,"Regulatory, potential role in gene expression modulation."
VWA1,No,Tumor Suppressor,Cell Adhesion,Protein,Membrane,Functions in cell adhesion and has roles in tumor progression.
ATAD3C,No,Unknown,Mitochondrial Functions,Protein,Mitochondria,Involved in mitochondrial biogenesis and protein import.
ATAD3B,No,Unknown,Mitochondrial Functions,Protein,Mitochondria,"Similar roles to ATAD3C, implicated in mitochondrial dynamics"
ATAD3A,No,Unknown,Mitochondrial Functions,Protein,Mitochondria,Involved in regulating mitochondrial function and dynamics.
TMEM240,No,Unknown,,Protein,Membrane,Role in membrane structure and cell signaling remains to be fully characterized.
SSU72,No,Oncogene,Transcription Regulation,Phosphatase,Nucleus,Involved in RNA polymerase II transcription and gene expression.
FNDC10,No,Oncogene,,Protein,Membrane,Involved in energy metabolism and may play a role in metabolic disorders.
MIB2,No,Oncogene,Notch Signaling ,E3 Ligase,Cytoplasm,Plays roles in Notch signaling and ubiquitylation processes.
MMP23B,Yes,Oncogene,"Ecm Remodeling, Metastasis",Matrix metalloproteinase,Extracellular space,Degradation of extracellular matrix components
CDK11B,Yes,Oncogene,Cell Cycle Regulation,Cyclin-dependent kinase,"Nucleus, Cytoplasm",Role in cell cycle control and transcription
SLC35E2B,No,Unknown,Nucleotide Metabolism,Transport protein,Membrane,Nucleotide sugar transporter
MMP23A,Yes,Oncogene,Ecm Remodeling,Matrix metalloproteinase,Extracellular space,Degradation of extracellular matrix components
CDK11A,Yes,Oncogene,Cell Cycle Regulation,Cyclin-dependent kinase,"Nucleus, Cytoplasm",Role in cell cycle control and transcription
SLC35E2A,No,Unknown,Nucleotide Metabolism,Transport protein,Membrane,Nucleotide sugar transporter
NADK,No,Unknown,"Metabolism, Oxidative Stress",Enzyme (NAD kinase),"Mitochondria, Cytosol","NADP+ synthesis, redox balance"
GNB1,Yes,Unknown,Signal Transduction,G-protein subunit,Cytoplasm,Relay signals from receptors to intracellular pathways
CALML6,No,Unknown,Calcium Signaling,Calmodulin,Cytosol,Calcium-binding protein involved in signaling
